Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cardiac Muscle Tissue Morphogenesis (GO:0055008),-0.05985915492957747,-0.18260969844286837,0.6831896551724138,1.0,1.0,11/11,100.00%,TNNC1;TCAP;MYH6;MYH7;MYL3;TGFB1;TGFBR3;ENG;TPM1;TTN;FKBP1A
prerank,Basement Membrane Organization (GO:0071711),-0.04563691073219659,-0.17998030239083387,0.8265412748171369,1.0,1.0,5/5,100.00%,PXDN;HMCN1;NID1;CTSS;NID2
prerank,Positive Regulation Of Viral Process (GO:0048524),-0.04721245605223506,-0.179468444245671,0.7631027253668763,1.0,1.0,8/8,100.00%,VAPB;DDB1;TYRO3;RAB7A;PPIA;AXL;CCL5;RAD23A
prerank,Positive Regulation Of Translation (GO:0045727),-0.06555723651033787,-0.17744312448717567,0.57847533632287,1.0,1.0,16/16,100.00%,PKM;METTL5;RPS4X;CSDE1;HNRNPU;PYM1;EIF6;NPM1;MRPS27;HNRNPD;EEF2;VIM;THBS1;EIF5A;PLXNB2;CCL5
prerank,Positive Regulation Of Viral Genome Replication (GO:0045070),-0.04714142427281846,-0.17609683297010514,0.8360824742268042,1.0,1.0,5/5,100.00%,VAPB;DDB1;PPIA;CCL5;RAD23A
prerank,Fat Cell Differentiation (GO:0045444),-0.046161565479177116,-0.17474202539779865,0.8393782383419689,1.0,1.0,6/6,100.00%,ALOXE3;ERAP1;SDF4;ADIPOQ;ADGRF5;PSMB8
prerank,Carboxylic Acid Metabolic Process (GO:0019752),-0.04267068273092369,-0.17416366391500823,0.7896405919661733,1.0,1.0,7/7,100.00%,PON1;SLC2A1;PON3;GSTO1;GLUD1;ST6GAL1;GRHPR
prerank,Negative Regulation Of Platelet Activation (GO:0010544),-0.044701155198392774,-0.17374419272699176,0.8032085561497326,1.0,1.0,8/8,100.00%,PRKCD;PDGFA;ALOX12;CEACAM1;APOE;F2;SERPINE2;CD9
prerank,Regulation Of Protein Dephosphorylation (GO:0035304),-0.059415911379657606,-0.1732819786510929,0.6608315098468271,1.0,1.0,13/13,100.00%,SMPD1;TIPRL;PPP1R7;TGFB1;ENSA;PRKCD;PPIA;CDH5;YWHAB;HSP90B1;PTPA;LILRB2;GBA1
prerank,Positive Regulation Of Granulocyte Chemotaxis (GO:0071624),-0.043630892678034106,-0.17162476333470095,0.8354037267080745,1.0,1.0,5/5,100.00%,S100A7;S100A14;DNM1L;RAC1;THBS4
prerank,Nucleotide-Excision Repair (GO:0006289),-0.04714142427281846,-0.17121263733039388,0.8341915550978373,1.0,1.0,5/5,100.00%,DDB1;FSCN1;RAD23B;BRCA2;RAD23A
prerank,Negative Regulation Of T Cell Proliferation (GO:0042130),-0.053795877325289086,-0.17119356268218375,0.7290322580645161,1.0,1.0,10/10,100.00%,SDC4;HLA-DRB1;CR1;PRNP;SPN;SFTPD;VSIG4;GPNMB;LILRB2;PDCD1LG2
prerank,Regulation Of Granulocyte Chemotaxis (GO:0071622),-0.051836940110719675,-0.1708751655748032,0.6555075593952484,1.0,1.0,12/12,100.00%,S100A7;S100A14;MSTN;RARRES2;MPP1;JAM3;BST1;THBS1;CSF1R;MAPK1;CCL5;CSF1
prerank,Metal Ion Transport (GO:0030001),-0.043172690763052204,-0.17000021364883447,0.8035714285714286,1.0,1.0,7/7,100.00%,ATP2B2;TPT1;SLC3A2;CACNA2D1;CDH23;CCL5;CLU
prerank,Positive Regulation Of Immune Response (GO:0050778),-0.0655241935483871,-0.16930164658561728,0.6080178173719376,1.0,1.0,15/15,100.00%,PTPRC;F2RL1;HLA-DRB1;ITGAM;HLA-DRA;C8A;C8B;C7;C6;C9;IL6ST;CFP;C8G;ITGB2;CCL5
