log2FC	AveExpr	t	pvalue	adj_pvalue	B	Protein	comparison	confounders
-0.2720393485915239	0.00784634901347107	-6.222787940673496	2.9735356313711584e-9	5.947071262742317e-6	8.740415099796419	ECH1	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.5232224998991015	0.04539566832397184	-5.004045925515455	1.259524385071832e-6	9.523924814189039e-4	4.080195623361417	HSPH1	TP: T1 vs T0	country, cancer_type, Sex, toxicity
0.8817256596802001	0.4276185644563979	4.976569741782179	1.428588722128356e-6	9.523924814189039e-4	3.983207135487561	PDCD1	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.47857046006373966	0.052288328832777585	-3.7021985177897974	2.788361013177195e-4	0.12059912989916374	-0.0555943145916693	SPTAN1	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.39286988352572827	0.039984235628964505	-3.680915072578854	3.0149782474790936e-4	0.12059912989916374	-0.11483265569185175	ACO2	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.177584455670693	0.019801980198019802	-3.0514708277050424	0.002597771105692787	0.8195207347589176	-1.732987378661274	TMPO	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.2079365388367007	0.9653465346534653	-3.020151040298831	0.0028683225716562115	0.8195207347589176	-1.806548065961286	PDE9A	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.5905629515734533	0.4801980198019802	-2.9440686671787377	0.0036369680540131494	0.9092420135032874	-1.9824157008579624	RAC1	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.16819803566991676	0.019801980198019802	-2.881376420160354	0.004407548774486967	0.9556929406278901	-2.12430284540714	COPS5	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.5629623948055111	0.6089108910891089	-2.8457243871468667	0.0049096312199399155	0.9556929406278901	-2.203763397426747	CCN4	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.3530167409243694	1.5721507431026278	-2.793138668380676	0.005745732842297734	0.9556929406278901	-2.319331159304481	PSMB9	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.32139246319630765	0.08415841584158416	-2.7906710927763245	0.005787973415391786	0.9556929406278901	-2.3247061572391807	HSD17B8	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.8878619222840138	1.645961498702492	-2.745307941703834	0.006616489470673305	0.9556929406278901	-2.4227491629537905	ITGA1	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.3392384576758391	0.07593985149942883	-2.727801933601826	0.0069639675828628905	0.9556929406278901	-2.460193657961236	FLNB	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.17595002839107526	0.024752475247524754	-2.7179023963048214	0.007167697054709175	0.9556929406278901	-2.481271637366886	MYOD1	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.4989236392356682	1.6240873116534522	-2.657215005869311	0.008538817425448387	0.9896748622055345	-2.608955993546926	NECTIN1	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.4054290808273371	2.821114266699509	-2.5970316171774517	0.01012759088990772	0.9896748622055345	-2.7329696013267744	CLSTN1	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.7066127501462305	0.8669265931468908	-2.5584360790315657	0.011281332134615603	0.9896748622055345	-2.811124213364477	MAPK1	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.37431151334135865	0.05324201733744291	-2.5379761414835458	0.011939475333691552	0.9896748622055345	-2.8521173703972993	MUC5AC	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.3387090720159609	0.8762376237623762	-2.5262138005212895	0.012333180140249912	0.9896748622055345	-2.875546640022137	TMPRSS11F genes	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.36419976767780926	0.8316831683168316	-2.5258643824076046	0.012345050968342654	0.9896748622055345	-2.876241104503228	PRIM2	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.8810099633988102	1.3845600177326618	-2.4918418318099538	0.013550905379053436	0.9896748622055345	-2.943435106052539	HAGH	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.16167417915508392	0.024752475247524754	-2.4869653363410658	0.013732075317460417	0.9896748622055345	-2.9529970156842418	RPS3	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.8470536933283901	2.4666176515356124	-2.4604603351626406	0.014754988182721867	0.9896748622055345	-3.004664872795722	PTPRZ1	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.5833620605622845	0.7172709159629674	-2.4463715956680185	0.01532581050517945	0.9896748622055345	-3.03191991257519	IGHV5-10-1 genes	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.30320836361138226	0.09900990099009901	-2.427125064429199	0.016137242395037558	0.9896748622055345	-3.0689179251740324	ENPP7	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.26515750806314253	1.459227352063502	-2.4228238960211446	0.01632369950625053	0.9896748622055345	-3.077149026002665	SLC38A6	TP: T1 vs T0	country, cancer_type, Sex, toxicity
0.20536829186710492	0.04455445544554455	2.419076563697005	0.016487700041392425	0.9896748622055345	-3.0843091919650125	CELA3A	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.46576446936449656	0.6633663366336634	-2.4119053689182084	0.016805615299500445	0.9896748622055345	-3.0979827204895427	MRPS35	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.17094741568508287	0.0297029702970297	-2.3995289620189753	0.01736706076604781	0.9896748622055345	-3.1214923248502724	DNAH8	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.48844931447274853	0.30244919556954497	-2.388786179669629	0.017867770894117844	0.9896748622055345	-3.14180747630254	GRHPR	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-1.0806896315723031	0.6744466325971856	-2.3885679226940963	0.01787807440081463	0.9896748622055345	-3.142219331367263	H4C6 genes	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.42255226888858116	0.19764758665151375	-2.3873139943108552	0.01793737174016846	0.9896748622055345	-3.1445848387514688	PDXP	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-1.0345988925632434	1.7126036354087746	-2.3712244415254884	0.018713784502270833	0.9896748622055345	-3.1748346718953853	PLS3	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.09312095936011389	4.630261355370229	-2.3701970406935815	0.018764354055067628	0.9896748622055345	-3.1767598011393927	PROS1	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.0954935037560144	0.9900990099009901	-2.3521437000580163	0.019672819880302263	0.9896748622055345	-3.2104608678583024	ABCC2	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.49981908084803917	0.8153428218535801	-2.3489136074032966	0.019839383167351586	0.9896748622055345	-3.2164652738408543	CTSV	TP: T1 vs T0	country, cancer_type, Sex, toxicity
-0.3890053712429436	0.19801980198019803	-2.345664034484851	0.02000820181275315	0.9896748622055345	-3.222498116210567	MIA3	TP: T1 vs T0	country, cancer_type, Sex, toxicity
