log2FC	AveExpr	t	pvalue	adj_pvalue	B	Protein	comparison	confounders
-0.022985510240622453	1.3753749762938152	-0.08217038810479402	0.9346320869488014	1	-5.729172794539069	PTPRC	TP: T1 vs T0	country, cancer_type, Sex
-0.00457228317158731	0.9861111111111112	-0.08212816895298229	0.9346655969707218	1	-5.729175928718786	SH2D6	TP: T1 vs T0	country, cancer_type, Sex
-0.02250260530559081	0.4191625000801283	-0.0815824148889272	0.9350987812899404	1	-5.729216298328216	CBR1	TP: T1 vs T0	country, cancer_type, Sex
0.02423020959308672	0.6402046875701124	0.08142864340288024	0.9352208386754648	1	-5.729227624258714	CRYZ	TP: T1 vs T0	country, cancer_type, Sex
0.0023685909004251826	5.863177746898795	0.08140218081353645	0.9352418437293925	1	-5.729229571187322	ITIH4	TP: T1 vs T0	country, cancer_type, Sex
-0.02179417034700226	0.2865601562950722	-0.08088655029507268	0.9356511418121825	1	-5.729267381319762	AHSP	TP: T1 vs T0	country, cancer_type, Sex
0.01865717542396983	0.4236111111111111	0.08059996873956264	0.9358786324554262	1	-5.729288291893923	WBP2	TP: T1 vs T0	country, cancer_type, Sex
-0.02410435686455692	1.2263053822148793	-0.08046482571155698	0.9359859118683457	1	-5.7292981269272865	SHH	TP: T1 vs T0	country, cancer_type, Sex
0.01696598786909076	0.6666666666666666	0.08044393367441954	0.9360024965171543	1	-5.729299645872438	IGHV3-15	TP: T1 vs T0	country, cancer_type, Sex
0.008073151569771286	0.04861111111111111	0.07991171984861181	0.9364249913039459	1	-5.729338207219614	STAT5A	TP: T1 vs T0	country, cancer_type, Sex
-0.015694942133707812	2.0631719588820197	-0.07931462339306511	0.9368990143204153	1	-5.729381164967225	COL3A1	TP: T1 vs T0	country, cancer_type, Sex
0.015732895639681388	0.7361111111111112	0.07777268019415541	0.9381232365887777	1	-5.729490609013873	PILRA	TP: T1 vs T0	country, cancer_type, Sex
0.005926722669797588	0.027777777777777776	0.07635136094296924	0.9392518208083993	1	-5.729589588574217	MYH3	TP: T1 vs T0	country, cancer_type, Sex
0.0075294187553714975	0.9513888888888888	0.0755996478767315	0.9398487610147968	1	-5.729641199276462	ABCC12	TP: T1 vs T0	country, cancer_type, Sex
0.010397583935113974	0.0873955729216747	0.07503355870203093	0.9402983186640291	1	-5.729679728477541	HNRNPA1 genes	TP: T1 vs T0	country, cancer_type, Sex
0.010783375400737871	0.10416666666666667	0.07494441008342982	0.9403691174705073	1	-5.729685769725945	PREP	TP: T1 vs T0	country, cancer_type, Sex
0.0058305008615211484	3.287270085943239	0.07463879326291674	0.940611831587451	1	-5.72970642565785	PVR	TP: T1 vs T0	country, cancer_type, Sex
-0.02770431143009766	0.4904025419821419	-0.07445145386952755	0.9407606151473099	1	-5.729719045769161	USP5	TP: T1 vs T0	country, cancer_type, Sex
0.021585229549570872	1.0613408856720765	0.0739404117559729	0.9411664916255693	1	-5.729753310853784	ARRB1	TP: T1 vs T0	country, cancer_type, Sex
-0.00570518942345144	0.9722222222222222	-0.07378715183014024	0.9412882157236149	1	-5.729763540846926	EFNA1	TP: T1 vs T0	country, cancer_type, Sex
0.007332658420290666	0.04861111111111111	0.07262522060463802	0.9422111048043178	1	-5.7298404085205155	CAMK1	TP: T1 vs T0	country, cancer_type, Sex
-0.015118314319861936	0.2916666666666667	-0.07245397338737868	0.9423471282845532	1	-5.729851634249083	IGHV2-70	TP: T1 vs T0	country, cancer_type, Sex
0.014939839674601552	0.1643179034567499	0.0724136580964894	0.9423791513949076	1	-5.729854273174355	ATP6V1B2	TP: T1 vs T0	country, cancer_type, Sex
0.039390401827010174	0.8684021719358755	0.07131685916241287	0.9432503931029768	1	-5.729925503057208	PYGL	TP: T1 vs T0	country, cancer_type, Sex
0.015274410034568087	0.3958333333333333	0.07110778855294746	0.9434164760638803	1	-5.729938957468227	C18orf63	TP: T1 vs T0	country, cancer_type, Sex
-0.0068637170849155105	3.0803807123415847	-0.0710955128050801	0.9434262278349946	1	-5.729939746227076	SNED1	TP: T1 vs T0	country, cancer_type, Sex
-0.019606510467425675	0.4481203125901444	-0.07056358052872153	0.9438487994536681	1	-5.7299737939086235	EIF6	TP: T1 vs T0	country, cancer_type, Sex
-0.022126108218144758	0.3573560102892247	-0.07048174190775411	0.9439138141858932	1	-5.7299790095039596	TPD52L2	TP: T1 vs T0	country, cancer_type, Sex
-0.013571906077563325	0.1956244791766827	-0.06967549056966059	0.9445543413740144	1	-5.730030068594815	NELL2	TP: T1 vs T0	country, cancer_type, Sex
0.027704999002032826	1.31671260510723	0.069632959309436665	0.9445881313866952	1	-5.730032745746848	PCMT1	TP: T1 vs T0	country, cancer_type, Sex
-0.004940230417202596	2.5345562734188616	-0.06938068822811816	0.9447885564631471	1	-5.730048591478809	OAF	TP: T1 vs T0	country, cancer_type, Sex
-0.022632362217738344	0.6664160591730108	-0.0681629392713367	0.9457560867332777	1	-5.730124272327686	CTSA	TP: T1 vs T0	country, cancer_type, Sex
-0.0076774622476878385	3.7361154522377475	-0.06725713490694588	0.9464758222161022	1	-5.730179697330239	APMAP	TP: T1 vs T0	country, cancer_type, Sex
-0.029519775189565722	1.7237258099714727	-0.06714499655083989	0.9465649283753587	1	-5.730186507357494	FBP1	TP: T1 vs T0	country, cancer_type, Sex
0.016858582184870408	0.2929824653478901	0.06630597836565826	0.9472316412363262	1	-5.730237099358513	HPSE	TP: T1 vs T0	country, cancer_type, Sex
-0.018177061510129544	2.2608534716912585	-0.06577570925700317	0.9476530307042734	1	-5.730268746026419	PARK7	TP: T1 vs T0	country, cancer_type, Sex
0.0027931941670402693	4.066857751231366	0.06506888590878408	0.948214745701261	1	-5.730310534452454	F11	TP: T1 vs T0	country, cancer_type, Sex
0.008001783998536016	2.7050800992559965	0.06474673783206508	0.9484707665595614	1	-5.73032943054829	OGN	TP: T1 vs T0	country, cancer_type, Sex
