log2FC	AveExpr	t	pvalue	adj_pvalue	B	Protein	comparison	confounders
-0.4999999999999999	0.018518518518518517	-4.910683667186734	1.1475783094676933e-5	0.005737891547338752	3.0182939604510075	RABGGTA	TP: T1 vs T0	country, cancer_type, toxicity
-0.4999999999999999	0.018518518518518517	-4.910683667186734	1.1475783094676933e-5	0.005737891547338752	3.0182939604510075	WRAP73	TP: T1 vs T0	country, cancer_type, toxicity
-0.4999999999999998	0.018518518518518517	-4.910683667186733	1.147578309467704e-5	0.005737891547338752	3.018293960451004	PRMT8 genes	TP: T1 vs T0	country, cancer_type, toxicity
0.49999999999999845	0.9814814814814815	4.91068366718672	1.1475783094677504e-5	0.005737891547338752	3.0182939604509667	ICAM2	TP: T1 vs T0	country, cancer_type, toxicity
0.16096404744368442	2.3159664635005623	4.396765575184445	6.289605673000831e-5	0.025158422692003322	1.5715721714240942	B4GAT1	TP: T1 vs T0	country, cancer_type, toxicity
0.7924812503605781	0.04786967593928067	3.970010669753034	2.4601375124414724e-4	0.08200458374804907	0.4123018742129032	KRT82	TP: T1 vs T0	country, cancer_type, toxicity
-1.7924812503605787	2.180920143750674	-3.7959377620028305	4.2239507111775307e-4	0.12068430603364373	-0.046166133249223584	PGAM1	TP: T1 vs T0	country, cancer_type, toxicity
0.792481250360578	0.04786967593928067	3.6177974957004904	7.265412724622577e-4	0.17296011503052044	-0.5051636729389264	PDCD1	TP: T1 vs T0	country, cancer_type, toxicity
1.0000000000000002	0.8703703703703703	3.594908346022992	7.783205176373419e-4	0.17296011503052044	-0.5633365677773856	SLC49A4	TP: T1 vs T0	country, cancer_type, toxicity
-2.292481250360579	1.6540873319306806	-3.2604731744765356	0.0020781523444131254	0.3806262661793729	-1.3902792778771227	ITGA1	TP: T1 vs T0	country, cancer_type, toxicity
-1.0000000000000009	0.8703703703703703	-3.2579150232072553	0.002093444463986551	0.3806262661793729	-1.3964279360274103	CTNNA1	TP: T1 vs T0	country, cancer_type, toxicity
0.4999999999999998	0.9629629629629629	2.857120202463468	0.006360316037046765	0.6964409888154501	-2.322436159069129	PIEZO2	TP: T1 vs T0	country, cancer_type, toxicity
