log2FC	AveExpr	t	pvalue	adj_pvalue	B	Protein	comparison	confounders
-0.3405854398786524	0.011006684032785806	-5.854850816157661	3.438843208072998e-8	6.877686416145995e-5	5.810969800311171	ECH1	TP: T2 vs T0	country, cancer_type, Sex, toxicity
0.8541318349880782	0.2003446181056358	4.964668652778376	2.0367799598583882e-6	0.0020367799598583884	3.0086044410061694	PDCD1	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.1735124080854774	0.9930555555555556	-4.716805677387829	5.89435674063061e-6	0.003929571160420407	2.2762508584759793	PIBF1	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.5750146093173901	0.0798045353911783	-3.4311041164907388	7.976446710024545e-4	0.39882233550122725	-1.097262278263651	HSPH1	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.5588119194039052	0.08317555502430497	-3.090244961149238	0.002428473504481219	0.6241620792100517	-1.852696832860358	SPTAN1	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.35099486134528146	0.9305555555555556	-2.99193987214782	0.003295620580775571	0.6241620792100517	-2.058414465330966	MAGEA4	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.4382653799975902	0.8888888888888888	-2.9861208617044896	0.003354971519355144	0.6241620792100517	-2.070416455787247	PFKFB3	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.6129020825889845	0.2847222222222222	-2.917079856246483	0.004138301862733424	0.6241620792100517	-2.2113081158054717	LRRC4B	TP: T2 vs T0	country, cancer_type, Sex, toxicity
0.6764515914319477	0.5416666666666666	2.90361050990936	0.0043094405888427145	0.6241620792100517	-2.238468907102003	FABP6	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.6282672243646681	0.6736111111111112	-2.9026873307483254	0.004321404665108712	0.6241620792100517	-2.2403265717505843	LAMA1	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.24650239848642574	0.9652777777777778	-2.8451660865005484	0.005129756627782871	0.6241620792100517	-2.355078749921027	SCAF1	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.5902406046292513	0.7291666666666666	-2.8284166256172925	0.005389870608796065	0.6241620792100517	-2.388123514295521	CCL5	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.4469615349352126	0.07286009094673385	-2.824785337455928	0.0054478282336480844	0.6241620792100517	-2.3952655463849233	ACO2	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.18788740466824883	0.9791666666666666	-2.8168690621346717	0.005576153520021064	0.6241620792100517	-2.410807990630011	ABCC2	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.4512504793038953	1.333761545584605	-2.8090375354531303	0.005705812825954078	0.6241620792100517	-2.42614714977078	NOTCH3	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.1862562012988076	0.9791666666666666	-2.8036502074916223	0.0057965956068620535	0.6241620792100517	-2.4366776703708384	ERLEC1	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.6371513529729302	0.19680451390892095	-2.7689879575101424	0.006412875293494669	0.6241620792100517	-2.5040145870710058	ILF2	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.7915705623762923	0.5209690972823187	-2.74555228603703	0.006862714753654944	0.6241620792100517	-2.549131912883682	FSCN1	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.8330254846925809	2.304390317323072	-2.7430559553742944	0.00691228263169572	0.6241620792100517	-2.553918175073728	GP5	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.753500479918225	1.5682773191773054	-2.738973757538169	0.006994041023043713	0.6241620792100517	-2.561736921791005	CTSC	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.18522947043824378	0.9791666666666666	-2.7202343811541274	0.007380736421220903	0.6241620792100517	-2.5974993492214717	STC2	TP: T2 vs T0	country, cancer_type, Sex, toxicity
0.47198733951796196	0.1597222222222222	2.716676707021152	0.007456304645171512	0.6241620792100517	-2.604264777176257	SMPD1	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.8374858921573118	0.9224763013971126	-2.6985320319105845	0.007852738650354397	0.6241620792100517	-2.6386497171920182	MAPK1	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-1.1314419035934753	4.79523049790183	-2.678566086105492	0.008310946835783189	0.6241620792100517	-2.676254126090197	KRT5	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.4482663004600873	0.1232978298761352	-2.67594840998387	0.008372781575516073	0.6241620792100517	-2.681166273449318	SPINK1	TP: T2 vs T0	country, cancer_type, Sex, toxicity
-0.8914477267957865	3.6727307654800305	-2.6636501911647823	0.008668895766565137	0.6241620792100517	-2.704188122478551	RELN	TP: T2 vs T0	country, cancer_type, Sex, toxicity
