Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	comparison	confounders
prerank	Cartilage Development (GO:0051216)	-0.995973829894313	-5.948671509344998	0.043991416309012876	1.0	0.842	1/12	0.50%	TRIP11	TP: T1 vs T0	country, cancer_type, toxicity
prerank	Visual Perception (GO:0007601)	-1.0	-5.905525152322467	0.003289473684210526	1.0	0.93	1/14	0.10%	RABGGTA	TP: T1 vs T0	country, cancer_type, toxicity
prerank	Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235)	-0.9934574735782585	-5.902191593462378	0.07327586206896551	1.0	0.936	1/12	0.75%	CTSL	TP: T1 vs T0	country, cancer_type, toxicity
prerank	Positive Regulation Of Proteolysis (GO:0045862)	-0.9934607645875252	-5.893133894522943	0.07004310344827586	1.0	0.949	1/11	0.75%	CTSL	TP: T1 vs T0	country, cancer_type, toxicity
prerank	Regulation Of Protein Localization To Nucleus (GO:1900180)	-0.9974874371859298	-5.885295303180396	0.022222222222222223	0.8948147538840506	0.956	1/9	0.35%	CTNNA1	TP: T1 vs T0	country, cancer_type, toxicity
prerank	Positive Regulation Of Growth (GO:0045927)	-0.9969803724207348	-5.871149325113669	0.02754237288135593	0.8350487247544667	0.964	1/12	0.40%	TEAD1	TP: T1 vs T0	country, cancer_type, toxicity
prerank	DNA-templated Transcription (GO:0006351)	-0.9959798994974874	-5.86356165290972	0.040837696335078534	0.7580969699589494	0.972	1/9	0.50%	TRIP11	TP: T1 vs T0	country, cancer_type, toxicity
prerank	Transcription By RNA Polymerase II (GO:0006366)	-0.9959819186338523	-5.845369563646833	0.03630705394190872	0.7532719004343438	0.984	1/8	0.50%	TRIP11	TP: T1 vs T0	country, cancer_type, toxicity
prerank	Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042058)	-0.9979889391654096	-5.770291573153193	0.016985138004246284	1.0	0.993	1/10	0.30%	ITGA1	TP: T1 vs T0	country, cancer_type, toxicity
prerank	Hexose Biosynthetic Process (GO:0019319)	-0.9984901862103673	-5.747888012443051	0.010834236186348862	1.0	0.996	1/12	0.25%	PGAM1	TP: T1 vs T0	country, cancer_type, toxicity
