Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	comparison	confounders
prerank	Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162)	-0.7917631968548335	-1.6417462268214482	0.05863192182410423	0.7274118014166748	0.99	2/13	0.25%	LEP;APLP2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Regulation Of Endothelial Cell Proliferation (GO:0001936)	-0.7203274951892125	-1.6311206190479917	0.047058823529411764	0.7561045671376824	0.992	3/26	2.50%	LEP;THBS1;SPARC	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Response To UV (GO:0009411)	0.8700552416991926	1.6199720680191851	0.015714285714285715	0.981299424041605	0.895	1/14	0.10%	IVL	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902041)	-0.8612094339391861	-1.6154863077262938	0.045584045584045586	0.8149358665548747	0.996	4/9	5.20%	LGALS3;THBS1;FGB;FGG	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Triglyceride Homeostasis (GO:0070328)	-0.7994483954538014	-1.6131514057538896	0.05956112852664577	0.7679121627023582	0.996	3/12	3.00%	GCKR;APOA1;LCP1	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Acylglycerol Homeostasis (GO:0055090)	-0.7994483954538014	-1.6131514057538896	0.05956112852664577	0.7679121627023582	0.996	3/12	3.00%	GCKR;APOA1;LCP1	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Cell-Cell Adhesion Mediated By Cadherin (GO:0044331)	0.9492381664485904	1.607782743362357	0.004629629629629629	0.9785396264291876	0.932	3/10	1.50%	CDHR2;CDH2;CDH15	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237)	-0.7539413425584083	-1.607722100227432	0.06291390728476821	0.7708959002564517	0.997	4/15	5.20%	LGALS3;THBS1;FGB;FGG	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Post-Translational Protein Modification (GO:0043687)	-0.9633901705115346	-1.5935941548513666	0.014251781472684086	0.8247161015370637	1.0	2/5	3.80%	FN3K;UCHL3	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Epithelial Cell Differentiation (GO:0030855)	0.7864939517827247	1.5924809671096556	0.027096774193548386	1.0	0.965	1/39	0.05%	CDHR2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Positive Regulation Of Multicellular Organismal Process (GO:0051240)	-0.6270326594059633	-1.5920749736386377	0.0	0.8059147907693759	1.0	7/57	5.65%	LEP;APLP2;PHF10;FGB;LCP1;FGG;AGT	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Activation Of Protein Kinase Activity (GO:0032147)	-0.7736490590582932	-1.5900196581080528	0.05442176870748299	0.7910308467564217	1.0	1/14	0.15%	LEP	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Response To Peptide (GO:1901652)	0.9302720480109792	1.5880987456195164	0.010752688172043012	0.9619808407546817	0.974	1/8	0.35%	MMP3	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Epithelium Development (GO:0060429)	0.7584460329118317	1.5875817830937526	0.02192448233861145	0.8708591727254124	0.974	1/47	0.05%	CDHR2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Intrinsic Apoptotic Signaling Pathway (GO:0097193)	-0.8370418561824357	-1.584136045179349	0.03763440860215054	0.7994278906174727	1.0	5/9	14.61%	CYCS;CUL1;BAX;PPM1F;HINT1	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Positive Regulation Of Protein Localization To Nucleus (GO:1900182)	-0.6947587738504838	-1.5815906982734207	0.047058823529411764	0.7884212234954632	1.0	7/19	18.31%	CCT4;CCT5;CCT6A;TGFB1;HCLS1;TCP1;CCT2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Response To Amyloid-Beta (GO:1904645)	0.8767053271730019	1.5780664119669803	0.016058394160583942	0.8909879315025372	0.982	1/12	0.35%	MMP3	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Activation Of GTPase Activity (GO:0090630)	0.9512441247051383	1.5767711508234328	0.004594180704441042	0.8302055408887697	0.986	1/8	0.20%	EPHA1	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Positive Regulation Of Receptor Signaling Pathway Via STAT (GO:1904894)	-0.8409424536671157	-1.5715870894402244	0.05232558139534884	0.8205577931761663	1.0	1/8	0.15%	LEP	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Cellular Response To UV (GO:0034644)	0.8668698593897198	1.5715338034693571	0.0182328190743338	0.8178236414940347	0.991	1/13	0.35%	MMP3	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Protein Localization To Nucleus (GO:0034504)	-0.7600399198871197	-1.5708894804191569	0.06060606060606061	0.8009682321344009	1.0	2/12	1.75%	APLP2;GCKR	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Regulation Of Neurogenesis (GO:0050767)	-0.8804892803074983	-1.5681085212136854	0.04142011834319527	0.7930556096520989	1.0	2/7	6.00%	APLP2;TGM2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Peptide Metabolic Process (GO:0006518)	0.8374680973838632	1.5672701600547447	0.021534320323014805	0.7997772613737566	0.993	4/20	5.50%	GGT1;CPM;ANPEP;ERAP1	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Protein Deubiquitination (GO:0016579)	-0.8539156626506023	-1.562672708313972	0.046703296703296704	0.8010066703392602	1.0	4/7	14.81%	UCHL3;USP15;BABAM1;USP5	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Monocyte Chemotaxis (GO:0002548)	-0.8702815208457418	-1.5587458976405892	0.036931818181818184	0.7997144385837959	1.0	2/7	10.91%	LGALS3;CCL14	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Calcium-Dependent Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0016339)	0.8770004746894001	1.5581011825569044	0.01762114537444934	0.8356908904498014	0.998	6/14	6.65%	CDH2;CDH23;CDH15;SELP;CDH11;CDH13	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Positive Regulation Of Kinase Activity (GO:0033674)	0.7758841411837762	1.5526298320552445	0.03389830508474576	0.837820164958068	0.998	5/32	3.60%	EPHA1;HLA-DRB1;MET;FGFR3;ROR1	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Acylglycerol Metabolic Process (GO:0006639)	-0.8217532106769099	-1.5524448208652746	0.0440771349862259	0.813838209407395	1.0	3/9	13.71%	LCP1;APOC1;APOA2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Import Into Nucleus (GO:0051170)	-0.8813452819019193	-1.5520432908174049	0.04	0.775768214108913	1.0	3/6	7.05%	APLP2;GCKR;NUTF2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Protein Import Into Nucleus (GO:0006606)	-0.8813452819019193	-1.5520432908174049	0.04	0.775768214108913	1.0	3/6	7.05%	APLP2;GCKR;NUTF2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Positive Regulation Of Leukocyte Migration (GO:0002687)	-0.7725866936890877	-1.5492200824613143	0.05161290322580645	0.7711454114108011	1.0	3/11	10.01%	LGALS3;JAM3;F7	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)	-0.6925101451376441	-1.549152190167729	0.07092198581560284	0.7363910594285679	1.0	8/19	16.46%	MMP8;THBS1;LCP1;ORM2;HMGB1;ORM1;SPN;APP	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760)	-0.6925101451376441	-1.549152190167729	0.07092198581560284	0.7363910594285679	1.0	8/19	16.46%	MMP8;THBS1;LCP1;ORM2;HMGB1;ORM1;SPN;APP	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Dicarboxylic Acid Metabolic Process (GO:0043648)	0.8388702637305594	1.5446454731361472	0.029154518950437316	0.8719491091118019	0.999	4/13	9.25%	GGT1;MDH1;ASS1;GOT1	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Regulation Of Protein Localization To Plasma Membrane (GO:1903076)	-0.7514147380867393	-1.5428053191119042	0.053125	0.7488744616255066	1.0	4/11	13.26%	LGALS3;CLTC;ITGB1;TGFB1	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Cell-Cell Junction Organization (GO:0045216)	0.8127294537313758	1.541773022843644	0.02	0.8541540036252359	0.999	4/20	6.65%	CDH2;CDH15;CDH11;CDH13	Sex: M vs F	country, cancer_type, TP, toxicity
