Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0030518),-0.9829488465396189,-3.1684067211848963,0.050515463917525774,0.43295691516754325,0.338,2/5,1.85%,MAPK1;SCGB2A2
prerank,Peptidyl-Threonine Phosphorylation (GO:0018107),-0.9884653961885657,-3.1637836519855975,0.03505154639175258,0.24410331876035501,0.376,1/5,1.25%,MAPK1
prerank,Cellular Response To Mechanical Stimulus (GO:0071260),-0.9754262788365096,-3.1598999594558514,0.100418410041841,0.18483543478150335,0.415,1/5,2.55%,PIEZO2
prerank,Rac Protein Signal Transduction (GO:0016601),-0.9834420471650775,-3.1513151146043827,0.05753138075313807,0.1727809499044488,0.474,1/6,1.75%,RAC1
prerank,Chemokine-Mediated Signaling Pathway (GO:0070098),-0.9964894684052158,-3.142402176379617,0.017453798767967144,0.18041545699325007,0.558,1/5,0.45%,CCL5
prerank,Megakaryocyte Development (GO:0035855),-0.9909729187562688,-3.12730244503142,0.03490759753593429,0.21463680017199938,0.682,1/5,1.00%,GP5
prerank,Stress-Activated Protein Kinase Signaling Cascade (GO:0031098),-0.9884653961885657,-3.1203987345277264,0.046248715313463515,0.2197073374615541,0.737,1/5,1.25%,MAPK1
prerank,Regulation Of Macrophage Activation (GO:0043030),-0.9904714142427281,-3.0917491273548667,0.035343035343035345,0.35510503366989915,0.916,1/5,1.05%,HSPD1
prerank,Regulation Of Microglial Cell Activation (GO:1903978),-0.9859578736208626,-3.0910666327032694,0.06832298136645963,0.3195554648426595,0.921,1/5,1.50%,GRN
prerank,Actin Filament Polymerization (GO:0030041),-0.9834420471650778,-3.085616428278358,0.0859538784067086,0.32135247601414635,0.934,1/6,1.75%,RAC1
prerank,Negative Regulation Of Neuroinflammatory Response (GO:0150079),-0.9859578736208626,-3.0824658669380827,0.06521739130434782,0.31359925051367715,0.948,1/5,1.50%,GRN
prerank,Myelination (GO:0042552),-0.9849548645937813,-3.07468247402908,0.05997931747673216,0.33116348731686024,0.964,1/5,1.60%,ADGRG6
prerank,Positive Regulation Of Platelet Activation (GO:0010572),-0.9909683893627697,-3.066227989548121,0.04239917269906929,0.3504300571630927,0.973,1/6,1.00%,GP5
prerank,Regulation Of Cellular Metabolic Process (GO:0031323),-0.9699097291875628,-3.0522575611851663,0.12668743509865005,0.40576257130799753,0.99,1/5,3.10%,PGAM1
prerank,Positive Regulation Of Granulocyte Chemotaxis (GO:0071624),-0.9834503510531595,-3.05015635459431,0.06792058516196448,0.3899625857727153,0.99,1/5,1.75%,RAC1
prerank,Negative Regulation Of Fatty Acid Biosynthetic Process (GO:0045717),-0.9994984954864594,-3.0407240633108468,0.004171011470281543,0.4156913769321786,0.992,1/5,0.15%,PIBF1
prerank,Epigenetic Regulation Of Gene Expression (GO:0040029),-0.9784353059177533,-3.037795433294704,0.09822361546499478,0.40624795847916745,0.993,1/5,2.25%,GPX1
prerank,Cortical Cytoskeleton Organization (GO:0030865),-0.9809760038702698,-3.023904125263169,0.07297019527235354,0.454219687103459,0.996,1/5,1.75%,RAC1
prerank,Cellular Response To Chemokine (GO:1990869),-0.9964877069744104,-3.0120550958908336,0.022703818369453045,0.5118397723454617,0.999,1/6,0.45%,CCL5
prerank,Positive Regulation Of Viral Genome Replication (GO:0045070),-0.9964894684052157,-3.011675287973228,0.01962809917355372,0.48926140494745235,0.999,1/5,0.45%,CCL5
prerank,Lymphocyte Chemotaxis (GO:0048247),-0.9964894684052157,-3.0111572413358214,0.01768990634755463,0.4703162512349227,0.999,1/5,0.45%,CCL5
prerank,Positive Regulation Of Interleukin-2 Production (GO:0032743),-0.9914744232698093,-3.00551820233858,0.03850156087408949,0.48532999908414015,0.999,1/5,0.95%,RPS3
prerank,Positive Regulation Of Osteoblast Differentiation (GO:0045669),-0.9724172517552658,-3.0035685667677434,0.11282051282051282,0.47562804460552266,0.999,1/5,2.85%,CCN4
prerank,Carbohydrate Derivative Biosynthetic Process (GO:1901137),-0.9864593781344032,-2.998428386945321,0.05747126436781609,0.48958788057953917,0.999,1/5,1.45%,PDCD6
