Sample Nr	Sample ID	R.FileName
63	XCHEJF_064	XCHEJF1-254_20250729_plasma_S064_250ng_41p5min_DIA_r1.raw
64	XCHEJF_065	XCHEJF1-254_20250729_plasma_S065_250ng_41p5min_DIA_r1.raw
65	XCHEJF_066	XCHEJF1-254_20250729_plasma_S066_250ng_41p5min_DIA_r1.raw
66	XCHEJF_067	XCHEJF1-254_20250729_plasma_S067_250ng_41p5min_DIA_r1.raw
67	XCHEJF_068	XCHEJF1-254_20250729_plasma_S068_250ng_41p5min_DIA_r1.raw
68	XCHEJF_069	XCHEJF1-254_20250729_plasma_S069_250ng_41p5min_DIA_r1.raw
69	XCHEJF_070	XCHEJF1-254_20250729_plasma_S070_250ng_41p5min_DIA_r1.raw
70	XCHEJF_071	XCHEJF1-254_20250729_plasma_S071_250ng_41p5min_DIA_r1.raw
71	XCHEJF_072	XCHEJF1-254_20250729_plasma_S072_250ng_41p5min_DIA_r1.raw
72	XCHEJF_073	XCHEJF1-254_20250729_plasma_S073_250ng_41p5min_DIA_r1.raw
73	XCHEJF_074	XCHEJF1-254_20250729_plasma_S074_250ng_41p5min_DIA_r1.raw
74	XCHEJF_075	XCHEJF1-254_20250729_plasma_S075_250ng_41p5min_DIA_r1.raw
75	XCHEJF_076	XCHEJF1-254_20250729_plasma_S076_250ng_41p5min_DIA_r1.raw
76	XCHEJF_077	XCHEJF1-254_20250729_plasma_S077_250ng_41p5min_DIA_r1.raw
77	XCHEJF_078	XCHEJF1-254_20250729_plasma_S078_250ng_41p5min_DIA_r1.raw
78	XCHEJF_079	XCHEJF1-254_20250729_plasma_S079_250ng_41p5min_DIA_r1.raw
79	XCHEJF_080	XCHEJF1-254_20250729_plasma_S080_250ng_41p5min_DIA_r1.raw
80	XCHEJF_081	XCHEJF1-254_20250729_plasma_S081_250ng_41p5min_DIA_r1.raw
81	XCHEJF_082	XCHEJF1-254_20250729_plasma_S082_250ng_41p5min_DIA_r1.raw
82	XCHEJF_083	XCHEJF1-254_20250729_plasma_S083_250ng_41p5min_DIA_r1.raw
83	XCHEJF_084	XCHEJF1-254_20250729_plasma_S084_250ng_41p5min_DIA_r1.raw
84	XCHEJF_085	XCHEJF1-254_20250729_plasma_S085_250ng_41p5min_DIA_r1.raw
85	XCHEJF_086	XCHEJF1-254_20250729_plasma_S086_250ng_41p5min_DIA_r1.raw
86	XCHEJF_087	XCHEJF1-254_20250729_plasma_S087_250ng_41p5min_DIA_r1.raw
87	XCHEJF_088	XCHEJF1-254_20250729_plasma_S088_250ng_41p5min_DIA_r1.raw
88	XCHEJF_089	XCHEJF1-254_20250729_plasma_S089_250ng_41p5min_DIA_r1.raw
89	XCHEJF_090	XCHEJF1-254_20250729_plasma_S090_250ng_41p5min_DIA_r1.raw
90	XCHEJF_091	XCHEJF1-254_20250729_plasma_S091_250ng_41p5min_DIA_r1.raw
91	XCHEJF_092	XCHEJF1-254_20250729_plasma_S092_250ng_41p5min_DIA_r1.raw
92	XCHEJF_093	XCHEJF1-254_20250729_plasma_S093_250ng_41p5min_DIA_r1.raw
93	XCHEJF_094	XCHEJF1-254_20250729_plasma_S094_250ng_41p5min_DIA_r1.raw
94	XCHEJF_095	XCHEJF1-254_20250729_plasma_S095_250ng_41p5min_DIA_r1.raw
95	XCHEJF_096	XCHEJF1-254_20250729_plasma_S096_250ng_41p5min_DIA_r1.raw
96	XCHEJF_097	XCHEJF1-254_20250729_plasma_S097_250ng_41p5min_DIA_r1.raw
97	XCHEJF_099	XCHEJF1-254_20250729_plasma_S099_250ng_41p5min_DIA_r1.raw
98	XCHEJF_100	XCHEJF1-254_20250729_plasma_S100_250ng_41p5min_DIA_r1.raw
99	XCHEJF_101	XCHEJF1-254_20250729_plasma_S101_250ng_41p5min_DIA_r1.raw
100	XCHEJF_102	XCHEJF1-254_20250729_plasma_S102_250ng_41p5min_DIA_r1.raw
101	XCHEJF_103	XCHEJF1-254_20250729_plasma_S103_250ng_41p5min_DIA_r1.raw
102	XCHEJF_104	XCHEJF1-254_20250729_plasma_S104_250ng_41p5min_DIA_r1.raw
103	XCHEJF_105	XCHEJF1-254_20250729_plasma_S105_250ng_41p5min_DIA_r1.raw
104	XCHEJF_106	XCHEJF1-254_20250729_plasma_S106_250ng_41p5min_DIA_r1.raw
105	XCHEJF_107	XCHEJF1-254_20250729_plasma_S107_250ng_41p5min_DIA_r1.raw
106	XCHEJF_108	XCHEJF1-254_20250729_plasma_S108_250ng_41p5min_DIA_r1.raw
107	XCHEJF_109	XCHEJF1-254_20250729_plasma_S109_250ng_41p5min_DIA_r1.raw
108	XCHEJF_110	XCHEJF1-254_20250729_plasma_S110_250ng_41p5min_DIA_r1.raw
109	XCHEJF_111	XCHEJF1-254_20250729_plasma_S111_250ng_41p5min_DIA_r1.raw
110	XCHEJF_112	XCHEJF1-254_20250729_plasma_S112_250ng_41p5min_DIA_r1.raw
111	XCHEJF_113	XCHEJF1-254_20250729_plasma_S113_250ng_41p5min_DIA_r1.raw
112	XCHEJF_114	XCHEJF1-254_20250729_plasma_S114_250ng_41p5min_DIA_r1.raw
113	XCHEJF_115	XCHEJF1-254_20250729_plasma_S115_250ng_41p5min_DIA_r1.raw
114	XCHEJF_116	XCHEJF1-254_20250729_plasma_S116_250ng_41p5min_DIA_r1.raw
115	XCHEJF_117	XCHEJF1-254_20250729_plasma_S117_250ng_41p5min_DIA_r1.raw
116	XCHEJF_118	XCHEJF1-254_20250729_plasma_S118_250ng_41p5min_DIA_r1.raw
117	XCHEJF_119	XCHEJF1-254_20250729_plasma_S119_250ng_41p5min_DIA_r1.raw
118	XCHEJF_120	XCHEJF1-254_20250729_plasma_S120_250ng_41p5min_DIA_r1.raw
119	XCHEJF_121	XCHEJF1-254_20250729_plasma_S121_250ng_41p5min_DIA_r1.raw
120	XCHEJF_122	XCHEJF1-254_20250729_plasma_S122_250ng_41p5min_DIA_r1.raw
121	XCHEJF_123	XCHEJF1-254_20250729_plasma_S123_250ng_41p5min_DIA_r1.raw
122	XCHEJF_124	XCHEJF1-254_20250729_plasma_S124_250ng_41p5min_DIA_r1.raw
123	XCHEJF_125	XCHEJF1-254_20250729_plasma_S125_250ng_41p5min_DIA_r1.raw
124	XCHEJF_126	XCHEJF1-254_20250729_plasma_S126_250ng_41p5min_DIA_r1.raw
125	XCHEJF_127	XCHEJF1-254_20250729_plasma_S127_250ng_41p5min_DIA_r3.raw
126	XCHEJF_128	XCHEJF1-254_20250729_plasma_S128_250ng_41p5min_DIA_r1.raw
127	XCHEJF_129	XCHEJF1-254_20250729_plasma_S129_250ng_41p5min_DIA_r1.raw
128	XCHEJF_130	XCHEJF1-254_20250729_plasma_S130_250ng_41p5min_DIA_r1.raw
129	XCHEJF_131	XCHEJF1-254_20250729_plasma_S131_250ng_41p5min_DIA_r1.raw
