Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Modulation Of Chemical Synaptic Transmission (GO:0050804),-0.9969849246231157,-5.343033324317763,0.03490759753593429,1.0,1.0,1/9,0.40%,CLSTN1
prerank,Regulation Of Cell Adhesion Mediated By Integrin (GO:0033628),-0.9944806823883592,-5.278138458752109,0.03662258392675483,1.0,1.0,1/6,0.65%,DPP4
prerank,Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042058),-0.996480643539467,-5.26402215192489,0.04776739356178609,1.0,1.0,1/10,0.45%,DGKD
prerank,Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034),-0.9989934574735782,-5.24892068729503,0.01995798319327731,1.0,1.0,1/12,0.20%,CROCC
prerank,Regulation Of Extracellular Matrix Disassembly (GO:0010715),-0.9944806823883592,-5.200090753898235,0.038696537678207736,1.0,1.0,1/6,0.65%,DPP4
prerank,Membrane Fusion (GO:0061025),-0.9944806823883592,-5.071232862522076,0.04757085020242915,1.0,1.0,1/6,0.65%,DPP4
prerank,Regulation Of Neutrophil Chemotaxis (GO:0090022),-0.9944806823883592,-4.985845494438202,0.05273833671399594,1.0,1.0,1/6,0.65%,DPP4
prerank,Cellular Response To Mechanical Stimulus (GO:0071260),-0.9954864593781344,-4.941139344365764,0.02636916835699797,1.0,1.0,1/5,0.55%,PIEZO2
prerank,Response To Lipopolysaccharide (GO:0032496),-0.9959452610238216,-4.898166769213703,0.0915032679738562,1.0,1.0,1/26,0.50%,SELE
prerank,Lipid Transport (GO:0006869),-0.9949392712550609,-4.8782469069647805,0.11267605633802817,1.0,1.0,1/23,0.60%,ABCC2
prerank,Positive Regulation Of Signaling (GO:0023056),-0.9969909729187563,-4.8391193336195135,0.012232415902140673,1.0,1.0,1/5,0.40%,CLSTN1
prerank,Membrane Organization (GO:0061024),-0.9944416371905002,-4.791740079619888,0.12763713080168776,1.0,1.0,1/20,0.65%,DPP4
prerank,Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0042269),-0.9939819458375125,-4.769711316510646,0.04387755102040816,1.0,1.0,1/5,0.70%,CADM1
prerank,Monoatomic Ion Transport (GO:0006811),-0.9954864593781344,-4.728117384468108,0.027551020408163266,1.0,1.0,1/5,0.55%,PIEZO2
