Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Regulation Of Type II Interferon Production (GO:0032649),-0.008572869389813415,-0.027253516261440142,0.9143730886850153,0.980540046757486,1.0,16/16,100.00%,PDE4D;F2RL1;EBI3;SIRPA;CD14;HLA-A;CR1;HLA-DRB1;IL1R1;PRNP;HMGB1;PDCD1LG2;GAS6;HAVCR2;MYDGF;HSPD1
prerank,Regulation Of Primary Metabolic Process (GO:0080090),-0.007545271629778673,-0.026464555948973578,0.9434343434343434,0.9816797444522275,1.0,11/11,100.00%,APOE;EDF1;LDLR;SERPINA3;ANGPTL8;FGFR4;GBA1;ADGRF5;PPARD;PSAP;CNDP1
prerank,Leukocyte Cell-Cell Adhesion (GO:0007159),-0.009595959595959595,-0.026448695400532768,0.8980632008154944,0.9810047381133397,1.0,19/19,100.00%,PECAM1;FERMT3;ITGB1;SELP;VCAM1;ITGB2;SELL;UMOD;ICAM1;EZR;ITGAL;CCL5;CLEC4M;SEMA4D;MSN;LRG1;SELE;NT5E;F11R
prerank,Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919),-0.008568548387096774,-0.025710790693504727,0.9255102040816326,0.9820206330221267,1.0,15/15,100.00%,BAX;S100A8;SENP1;ROBO1;CNTN1;BID;PIDD1;S100A9;SNCA;SORD;CYCS;HSPE1;RACK1;VCP;HSPD1
prerank,Heterotypic Cell-Cell Adhesion (GO:0034113),-0.007052896725440806,-0.024277832906147847,0.9219066937119675,0.9848434028158616,1.0,14/14,100.00%,JUP;DSC2;CD58;ITGB3;DSG2;ITGB1;VCAM1;ITGB2;LILRB2;DSP;JAM3;ITGA5;ITGA7;MADCAM1
prerank,Positive Regulation Of T Cell Activation (GO:0050870),-0.008590197069226884,-0.023525313810033366,0.9037871033776868,0.9860070166800452,1.0,20/20,100.00%,SIRPB1;SIRPA;PTPRC;TFRC;AIF1;ANXA1;B2M;PNP;HLA-A;HLA-DRB1;VCAM1;ACTB;LEP;PDCD1LG2;LILRB2;HLA-DRA;IL6ST;CCL5;PHF10;HSPD1
prerank,Organonitrogen Compound Catabolic Process (GO:1901565),-0.009095502779181405,-0.022974471443279475,0.8826530612244898,0.9866711322903139,1.0,20/20,100.00%,ELANE;UCHL3;IDE;PLA2G15;PLA2G7;CPQ;BCHE;CLN5;LIPC;TRHDE;ENPEP;LTA4H;ENPP2;ANPEP;MPST;NPEPPS;ERAP2;ERAP1;CASP3;ADAMTS13
prerank,Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),-0.012207527975584944,-0.022847128908085913,0.8568507157464212,0.9863529913022414,1.0,33/33,100.00%,PYM1;PDGFRB;IGF1;AGO2;METTL5;THBS1;CD36;MMP8;PLXNB2;HBB;HNRNPD;PARK7;EIF6;APOA4;LDLR;HSP90AA1;CLU;RPS4X;IGF2;GPLD1;SNCA;EEF2;FGFR4;VIM;HSP90AB1;APOA5;DDB1;CCL5;DDAH2;ADSL;NPM1;CDH3;ASS1
prerank,Actomyosin Structure Organization (GO:0031032),-0.00963000506842372,-0.022781363119666907,0.8734693877551021,0.985865043057048,1.0,26/26,100.00%,ACTN2;MYH3;PDLIM1;MYOM2;MYH7B;TNNT3;TCAP;MYL9;WDR1;ZYX;FLNC;KRT19;ARRB1;ITGB1;MYH9;TTN;EPB41;MYH7;RHOA;TPM1;SRC;PDCD10;CSRP1;MYH6;EPB41L4A;F11R
prerank,Peptide Metabolic Process (GO:0006518),-0.009095502779181405,-0.022645354766651863,0.9064089521871821,0.9854926506994766,1.0,20/20,100.00%,ACE;CPN1;HM13;IDE;CPQ;CLN5;CPM;TRHDE;APEH;ENPEP;MME;LTA4H;ANPEP;BACE2;CPD;NPEPPS;ERAP2;GGT1;ERAP1;ADAMTS13
