Protein	coef	HR	pvalue	CI_lower	CI_upper	adj_pvalue
PDCD1	-14.945847229292834	3.229245186921093e-07	0.995128822334027	0.0	inf	0.9956410662615485
SERPINA1	23.951161856509657	25226524981.18176	0.9956410662615485	0.0	inf	0.9956410662615485
