Protein	coef	HR	pvalue	CI_lower	CI_upper	adj_pvalue
PAM	-0.8272607200113948	0.43724538488210163	0.012267630601775858	0.2288486423761344	0.8354147292098373	0.11040867541598273
GM2A	-0.9068761207596163	0.40378362718836164	0.06381385655412788	0.1547639850434519	1.0534829375168517	0.2871623544935755
ICAM2	-1.4871035698516486	0.22602637796720826	0.15322218191433398	0.029368206423806713	1.7395656649825897	0.459666545743002
NOTCH3	-0.6331965904318602	0.5308920413168643	0.2507474198783061	0.18019067080394136	1.5641562256031196	0.5641816947261888
PRMT8 genes	-14.955205200708109	3.19916695787244e-07	0.9947314071893361	0.0	inf	0.9966212920144688
IL1R2	0.19765526560422464	1.2185422479808579	0.7532132255025923	0.3554028554196864	4.177921441742008	0.9966212920144688
SH2D6	14.934948150891385	3063130.9922301625	0.9957581531361437	0.0	inf	0.9966212920144688
IGHV3OR16-13	14.929352720993968	3046039.3197175614	0.9966212920144688	0.0	inf	0.9966212920144688
PIEZO2	14.928792552236631	3044333.5014746836	0.9960906868524094	0.0	inf	0.9966212920144688
